Rating_ID,Rating
101,5
102,5
103,4
104,5
105,3
106,5
107,5
108,5
109,2
110,5
111,4
112,5
113,5
114,1
115,4
116,5
117,5
118,4
119,5
120,5
121,4
122,5
123,5
124,1
125,5
126,4
127,5
128,2
129,4
130,5
131,4
132,1
133,5
134,3
135,5
136,5
137,5
138,4
139,4
140,4
141,1
142,4
143,4
144,5
145,5
146,5
147,4
148,5
149,5
150,5
151,5
152,5
153,3
154,3
155,5
156,5
157,5
158,5
159,5
160,1
161,1
162,5
163,3
164,3
165,4
166,5
167,4
168,5
169,4
170,2
171,5
172,5
173,5
174,3
175,5
176,5
177,4
178,4
179,5
180,2
181,1
182,3
183,5
184,3
185,5
186,1
187,5
188,5
189,5
190,4
191,1
192,1
193,5
194,5
195,1
196,5
197,4
198,5
199,3
301,1
302,5
303,5
304,5
305,5
306,1
307,4
308,4
309,5
310,5
311,5
312,5
313,1
314,4
315,5
316,5
317,5
318,5
319,3
320,5
321,5
322,5
323,1
324,5
325,3
326,5
327,5
328,3
329,5
330,2
331,4
332,3
333,5
334,5
335,1
336,2
337,2
338,5
339,5
340,5
341,5
342,1
343,4
344,2
345,5
346,5
347,5
348,5
349,5
350,5
351,5
352,1
353,5
354,5
355,5
356,4
357,4
358,5
359,2
360,5
361,2
362,5
363,4
364,4
365,1
366,5
367,4
368,1
369,5
370,5
371,3
372,5
373,5
374,1
375,5
376,2
377,5
378,5
379,5
380,5
381,5
382,1
383,5
384,5
385,5
386,4
387,4
388,5
389,5
390,4
391,4
392,5
393,4
394,5
395,4
396,4
397,1
398,5
399,1
400,5
501,4
502,5
503,5
504,5
505,2
506,4
507,4
508,5
509,5
510,1
511,5
512,2
513,5
514,5
515,5
516,5
517,4
518,5
519,5
520,5
521,3
522,5
523,1
524,5
525,5
526,5
527,5
528,5
529,2
530,2
531,5
532,5
533,5
534,5
535,5
536,5
537,5
538,4
539,5
540,5
541,4
542,4
543,1
544,5
545,5
546,5
547,5
548,1
549,5
550,5
551,5
552,4
553,4
554,1
555,5
556,5
557,4
558,2
559,5
560,5
561,3
562,5
563,5
564,5
565,4
566,5
567,5
568,4
569,1
570,5
571,2
572,4
573,1
574,5
575,5
576,3
577,4
578,4
579,4
580,4
581,3
582,5
583,5
584,5
585,1
586,1
587,3
588,5
589,5
590,4
591,5
592,4
593,5
594,5
595,5
596,5
597,1
598,1
599,4
600,5
601,5
602,5
603,4
604,5
605,4
606,5
607,3
608,5
609,5
610,5
611,5
612,1
613,5
614,5
615,3
616,4
617,5
618,3
619,1
620,1
621,5
622,5
623,5
624,4
625,5
626,4
627,5
628,4
629,5
630,5
631,5
632,5
633,5
634,2
635,5
636,4
637,5
638,1
639,1
640,5
641,4
642,5
643,2
644,5
645,4
646,4
647,5
648,5
649,5
650,5
651,5
652,4
653,5
654,1
655,5
656,2
657,1
658,5
659,4
660,1
661,3
662,4
663,5
664,5
665,5
666,5
667,4
668,5
669,5
670,5
671,4
672,3
673,5
674,5
675,4
676,5
677,4
678,4
679,3
680,4
681,5
682,4
683,3
684,3
685,5
686,3
687,5
688,5
689,5
690,5
691,4
692,4
693,5
694,5
695,4
696,1
697,4
698,4
699,5
700,5
701,5
702,5
703,4
704,5
705,5
706,5
707,5
708,5
709,1
710,4
711,4
712,4
713,5
714,4
715,5
716,5
717,5
718,5
719,5
720,5
721,3
722,5
723,4
724,5
725,5
726,5
727,5
728,5
729,5
730,5
731,3
732,4
733,5
734,5
735,4
736,5
737,1
738,5
739,5
740,5
741,1
742,5
743,5
744,3
745,5
746,5
747,5
748,4
749,4
750,5
751,5
752,4
753,5
754,5
755,4
756,5
757,5
758,3
759,4
760,5
761,4
762,4
763,5
764,4
765,5
766,1
767,5
768,4
769,4
770,5
771,4
772,4
773,5
774,5
775,5
776,5
777,5
778,4
779,4
780,5
781,5
782,5
783,5
784,3
785,1
786,5
787,3
788,3
789,5
790,5
791,4
792,5
793,4
794,5
795,2
796,3
797,5
798,4
799,5
800,5
801,4
802,5
803,5
804,5
805,3
806,2
807,4
808,4
809,5
810,5
811,5
812,5
813,5
814,5
815,5
816,5
817,5
818,5
819,5
820,3
821,1
822,5
823,5
824,5
825,5
826,4
827,5
828,5
829,5
830,1
831,5
832,5
833,5
834,4
835,1
836,4
837,4
838,5
839,1
840,4
841,5
842,4
843,5
844,5
845,4
846,4
847,1
848,5
849,3
850,5
851,2
852,5
853,5
854,5
855,5
856,5
857,3
858,3
859,3
860,2
861,5
862,5
863,5
864,5
865,5
866,5
867,5
868,5
869,1
870,4
871,4
872,5
873,3
874,4
875,5
876,5
877,5
878,2
879,1
880,3
881,5
882,3
883,5
884,5
885,5
886,1
887,1
888,5
889,5
890,3
891,4
892,5
893,5
894,5
895,5
896,4
897,4
898,2
899,1
900,5
901,1
902,5
903,5
904,4
905,5
906,4
907,4
908,4
909,5
910,5
911,5
912,4
913,4
914,5
915,5
916,4
917,5
918,5
919,5
920,2
921,4
922,5
923,4
924,5
925,5
926,5
927,1
928,4
929,5
930,5
931,1
932,4
933,5
934,1
935,4
936,2
937,5
938,5
939,5
940,4
941,5
942,1
943,1
944,1
945,3
946,5
947,5
948,5
949,5
950,5
951,5
952,3
953,4
954,4
955,5
956,4
957,5
958,5
959,5
960,5
961,4
962,4
963,5
964,5
965,5
966,2
967,4
968,4
969,5
970,4
971,4
972,4
973,5
974,3
975,1
976,5
977,4
978,5
979,5
980,1
981,4
982,5
983,5
984,4
985,5
986,5
987,4
988,5
989,5
990,4
991,5
992,3
993,1
994,4
995,4
